number_of_cpus	wall_clock_time	processors_per_node	cores_per_processor	number_of_nodes	cpu_interconnects	processor	ram_per_cpu	ram_bus_speed	computer_system	operating_system	vendor	mpi_library	shared_or_dedicated	code_version	code_version_number	problem_name	precision	smp_mpp	location	submitted_by	submitted_by_org	date_submitted
192	75	2	8	12	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
192	78	2	6	16	Mellanox® Technologies ConnectX-2® IB QDR MT26428	Intel® Xeon® Hexa Core X5675 3.07GHz	4	1333	Rackable C2112-4TY14	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
144	83	2	6	12	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
128	87	2	8	8	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
256	88	2	8	16	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Intel MPI 4.0.3.008	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2012-07-04
256	90	2	4	32	Mellanox ConnectX IB HCA DDR Fabric OFED v1.3	Intel Xeon E5472 3.00GHz	2	1600	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 5SP4	SGI	SGI MPT 1.20	s	LS-DYNA	ls971.R3.1	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-04-08
120	95	2	6	10	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
128	98	2	4	16	IP95 Blades with Mellanox ConnectX IB HCA DDR Fabric OFED v1.4	Intel® Xeon® Quad Core X5570 2.93GHz Turbo Boost E	6	1066	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 6SP2	SGI	SGI MPT 1.23	s	LS-DYNA	ls971.R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2009-03-31
128	101	2	8	8	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Intel MPI 4.0.3.008	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2012-07-04
132	105	2	6	11	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	Intel MPI 3.2.1.009	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
96	107	2	8	6	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
128	108	2	4	16	IB QDR	Intel® Xeon® Quad Core X5560 @2.80GHz	3	1333	bullx blade cluster	bullx cluster suite	BULL	hpmpi	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2010-04-08
96	110	2	6	8	Mellanox® Technologies ConnectX-2® IB QDR	Intel® Xeon® Hexa Core X5690 3.47GHz	2	1333	Altix ICE 8400EX?	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
120	111	2	6	10	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	Intel MPI 4.0.0.027	s	LS-DYNA	971_s_R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
96	113	2	6	8	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
128	113	2	4	16	IB	Intel® Xeon® Quad Core X5560	2	1067	Supermicro Board X8DTN qual	Redhat5U3	Intel	Intel MPI 3.2.011	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	SSG/ASE	2009-03-27
80	113	2	10	4	Mellanox Technologies Connect-IB FDR InfiniBand	Intel Xeon E5-2680 V2 @2.80GHz	4	1600	Dell PowerEdge R720xd	RHEL 6.2	Dell	Platform MPI 9.1	d	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Sunnyvale, CA	Pak Lui	HPC Advisory Council	2014-02-13
96	117	2	6	8	Mellanox® Technologies ConnectX-2® IB QDR MT26428	Intel® Xeon® Hexa Core X5675 3.07GHz	4	1333	Rackable? C2112-4TY14	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
128	121	2	4	16	Mellanox ConnectX IB HCA DDR Fabric OFED v1.3	Intel Xeon E5472 3.00GHz	2	1600	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 5SP4	SGI	SGI MPT 1.20	s	LS-DYNA	ls971.R3.1	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-04-08
64	123	2	4	8	Mellanox® Technologies ConnectX-2® IB QDR MT26428	Intel® Xeon® Quad Core X5687 3.60GHz	6	1333	Rackable? C2005-TY3	SUSE® Linux® Enterprise Server 11 SP1, SGI® Perfor	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2011-08-23
96	125	2	6	8	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
128	129	2	4	16		Intel® Xeon® Quad Core X5482	2	1600	Intel SR1560SF system	Redhat5U3	Intel	Intel MPI 3.2.011	s	LS-DYNA	mpp971.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	Intel/SSG	2009-02-13
72	135	2	6	6	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
