number_of_cpus	wall_clock_time	processors_per_node	cores_per_processor	number_of_nodes	cpu_interconnects	processor	ram_per_cpu	ram_bus_speed	computer_system	operating_system	vendor	mpi_library	shared_or_dedicated	code_version	code_version_number	problem_name	precision	smp_mpp	location	submitted_by	submitted_by_org	date_submitted
12	580	2	6	1	Mellanox® Technologies ConnectX-2® IB QDR MT26428	Intel® Xeon® Hexa Core X5675 3.07GHz	4	1333	Rackable? C2112-4TY14	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	neon_refined_revised	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
16	581	1	2	8	Infiniband SDR	Xeon 3130 3GHz Dual Core	8	800	NEXXUS 4080ML	Linux Red Hat 4 upd 4	VXTECH	OpenMPI 1.2.5 Xeon64	d	LS-DYNA	mpp971sR3.2.1	neon_refined	s	m	St-Laurent, CANADA	David Giorgi	VXTECH	2008-11-25
64	584	1	1	64	InfiniCon Infiniband	2 GHz Opteron	2	0	Opteron Cluster	SuSE SLES8 SP3	Appro, Rackable, and Verari		d	LS-DYNA	970.5412	neon_refined	s	s	AMD Developer Center	Steven Lyness		2004-06-18
12	586	2	6	1	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	SGI MPT 2.02	s	LS-DYNA	971_s_R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
32	586	2	1	16	Myrinet	Opteron, 2.4 GHz	8	0	e326	SUSE LINUX 9	IBM	mpich-gm	d	LS-DYNA	mpp970_5434a	neon_refined	s	m	Poughkeepsie, New York	Guangye Li	IBM	2005-05-03
16	586	1	2	8	Infiniband SDR	Xeon 3130 3GHz Dual Core	8	800	NEXXUS 4080ML	Linux Red Hat 4 upd 4	VXTECH	OpenMPI 1.2.5 Xeon64	d	LS-DYNA	mpp971sR3.2.1	neon_refined_revised	s	m	St-Laurent, CANADA	David Giorgi	VXTECH	2008-11-25
24	587	2	2	6	Voltaire IB 410 HCA PCIe card with firmware v1.2.0 Voltaire ISR9024 SDR 24 port IB switch	Intel 5160 Woodcrest DC 3.0GHz	2	0	Altix XE1200 Compute Cluster	SUSE Linux Enterprise Server 10 (x86_64)	SGI	Intel MPI Runtime v2	d	LS-DYNA	ls970.6763	neon_refined	s	m	Chippewa Falls, WI	Scott Shaw	Application Engineering	2007-02-06
35	591	1	1	35	Infiniband	2,2GHz AMD Opteron 248	4	0	Opteron Cluster	SuSE SLES8 SP3	Self-made (SKIF program)		d	LS-DYNA	970.5434	neon_refined	s	m	United Institute of Informatics Problems, Minsk	Oleg Tchij	United Institute of Informatics Problems, Minsk	2004-12-03
32	596	2	2	8	InfiniBand DDR	Intel Dualcore Xeon 3.0 GHz DL140	2	0	CP3000/Linux	Red Hat EL 4.3	HP	HP-MPI	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-01-19
16	605	2	2	4	InfiniBand Topspin 270 SDR	Intel Xeon X5272 3.40GHz DL160	2	1600	CP3000	Red Hat EL 4.6	HP	HP-MPI	s	LS-DYNA	ls971R3.1	neon_refined_revised	s	m	Scalable Computing & Infrastructure	Yih-Yih Lin	HP	2008-08-05
32	607	2	1	16	Rapic Array	AMD Opteron 2.2 GHZ	2	0	CRAY XD1	Suse Linux 8	CRAY	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	Cray Inc.	2005-02-03
16	608	2	1	8	Infiniband SDR	Intel Xeon 5160 3.0GHz	4	0	LS-P	SLES9	Linux Networx	MPI Connect 5.4	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Oslo, Norway	Hakon Bugge	Scali, Inc.	2007-03-21
32	609	2	2	8	Voltaire InfiniBand DDR	Intel Dualcore Xeon 3.0 GHz DL140	2	0	CP3000/Windows CCS	Microsoft Windows Compute Cluster Server 2003	HP	HP-MPI	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-01-31
24	627	2	1	12	Topspin InfiniBand	AMD Opteron 2.6 GHz DL145	4	0	Opteron CP4000	Red Hat 3.0	HP	HP-MPI	d	LS-DYNA	970.5434a	neon_refined	s	m	High Performance Technical Computing Division	Yih-Yih Lin	HP	2005-08-25
256	628	2	8	16	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	3 Vehicle Collision	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
16	631	2	2	4	Mellanox InfiniHost III Lx HCA DDR Fabric OFED v1.3	 Intel Xeon X5272 DC 3.4Ghz, 1600MHz FSB, 800MHz D	4	1600	Altix XE1300 XE250/XE320	SUSE Linux Enterprise Server 10, SGI ProPack 5SP5	SGI	SGI MPT 1.20	s	LS-DYNA	  ls971.R3.1	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-06-30
12	639	2	6	1	QDR IB	Intel® Xeon® Six Core X5670	2	1333	Intel SR1600UR system	Redhat5U3	Intel	Intel MPI 3.2.1	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	Intel/SSG	2010-03-28
512	640	2	4	64	Mellanox ConnectX IB HCA DDR Fabric OFED v1.3	Intel Xeon E5472 3.00GHz	2	1600	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 5SP4	SGI	SGI MPT 1.20	s	LS-DYNA	ls971.R3.1	3 Vehicle Collision	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-04-08
256	653	2	4	32	IP95 Blades with Mellanox ConnectX IB HCA DDR Fabric OFED v1.4	Intel® Xeon® Quad Core X5570 2.93GHz Turbo Boost E	6	1066	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 6SP2	SGI	SGI MPT 1.23	s	LS-DYNA	ls971.R3.2	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2009-03-31
32	655	2	1	16	Myrinet	AMD Opteron 2.4GHz DL145	4	0	Opteron CP4000	Red Hat 3.0	HP	HP-MPI	d	LS-DYNA	970.5434a	neon_refined	s	m	High Performance Technical Computing Division	Yih-Yih Lin	HP	2005-07-28
312	658	2	6	26	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-06
256	658	2	8	16	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Platform MPI 8.2.1	s	LS-DYNA	mpp971_s_r6.0.0	3 Vehicle Collision	s	m	France	Patrice Calegari	BULL	2012-07-04
256	660	2	8	16	Mellanox Technologies® ConnectX-3® IB FDR	Intel Xeon E5-2680	4	1600	Dell PowerEdge R720xd	RHEL 6.2	Dell	Platform MPI 8.2	d	LS-DYNA	mpp971_s_r6.0.0	3 Vehicle Collision	s	m	Sunnyvale, CA	Pak Lui	HPC Advisory Council	2012-05-01
64	667	4	1	16		POWER4+, 1.7 GHz	0	0	IBM p655	AIX 5.1	IBM			LS-DYNA	mpp970_3858	neon_refined			Poughkeepsie, New York, USA	Guangye Li		2003-11-13
24	674	2	1	12	Rapid Array	AMD Opteron 2.4 GHZ	4	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-TIng Zhu	CRAY Inc.	2005-05-02
32	688	2	1	16	Infiniband TopSpin	1.5GHz Itanium2 rx2600	6	8	Itanium2 CP6000	HP-UX 11.23	HP	HP-MPI	d	LS-DYNA	970.5434	neon_refined	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2004-12-13
32	699	2	1	16	Infiniband	Xeon 3.6Ghz	2	400	GT4000	Linux	Galactic Computing (Shenzhen) Ltd.	MVAPICH 0.9.5	d	LS-DYNA	970 5434a	neon_refined	s	m	Shenzhen, China	Alex Korobka	Galactic Computing (Shenzhen) Ltd.	2005-08-02
16	700	2	1	8	QLogic InfiniPath IB	Intel Dualcore Xeon 5160 3.0 GHz	2	0	Cambridge Cluster	ClusterVisionOS	ClusterVision/Dell	QLogic MPI 2.0	s	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Cambridge, UK	Kevin Ball	QLogic	2007-02-26
48	702	1	1	48	InfiniCon Infiniband	2 GHz Opteron	2	0	Opteron Cluster	SuSE SLES8 SP3	Appro, Rackable, and Verari		d	LS-DYNA	970.5412	neon_refined	s	s	AMD Developer Center	Steven Lyness		2004-06-18
16	703	1	1	16	Infiniband (Topspin)	AMD Oopteron 156 3.0 GHz	4	0	Sun Fire X2100	64-bit SUSE SLES 9 SP 3	Sun Microsystems	MVAPICH	d	LS-DYNA	mpp970_s_6763	neon_refined	s	m	Menlo Park CA	Mike Burke	Sun Microsystems	2006-04-21
128	706	32	1	4		Power 4 1.3 GHz	0	0	IBM P690	AIX 5.3	IBM		s	LS-DYNA	LS970-3858	neon_refined	s	m	Oak Ridge, TN	Gustavo A. Aramayo		2005-11-14
256	712	2	8	16	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Intel MPI 4.0.3.008	s	LS-DYNA	mpp971.s.R321	3 Vehicle Collision	s	m	France	Patrice Calegari	BULL	2012-07-04
6	720	1	2	3	QDR InfiniBand	Intel i7 2700K	4	1600	Ci11T	Cent OS 5.5	ARD	HP-MPI	d	LS-DYNA	 ls971.R4.2.1	neon_refined	s	m	NAGOYA,JAPAN	ARD		2012-01-18
16	731	1	1	16	Infiniband (Voltaire)	AMD Opteron 156 3.0 GHz	4	0	Sun Fire X2100	64-bit SUSE SLES 9 SP 3	Sun Microsystems	MVAPICH	d	LS-DYNA	mpp970_s_6763	neon_refined	s	m	Menlo Park CA	Mike Burke	Sun Microsystems	2006-10-08
8	731	2	4	1	Gigabit Ethernet	Intel Xeon W5580 3.2GHz	2	1333	ThinkStation D20 w/ GigaE	CentOS 5.3	Lenovo	OpenMPI 1.3.3	d	LS-DYNA	mpp971_s_R3.2.1	neon_refined_revised	s	m	Beijing	Jason Hu	Lenovo	2009-12-02
8	734	1	4	2	InfiniBand DDR	Intel i7 920	3	1600	CA9212i	Cent OS 5.1	ARD	HP-MPI	s	LS-DYNA	ls971.7600	neon_refined	s	m	Nagoya,Japan	Takuya Ichikawa	ARD	2009-02-10
32	734	2	1	16		1.5 GHz Itanium2 RX2600	6132	8500	Itanium2 Cluster	HP-UX 11.23	HP		d	LS-DYNA	970.3858	neon_refined	s	m	HP, Richardson, Texas	Yih-Yih Lin		2004-03-05
6	738	1	2	3	QDR InfiniBand	Intel i7 2700K	4	1600	Ci11T	Cent OS 5.5	ARD	HP-MPI	d	LS-DYNA	 ls971.R4.2.1	neon_refined_revised	s	m	NAGOYA,JAPAN	ARD		2012-01-18
24	740	2	1	12	Rapic Array	AMD Opteron 2.2 GHZ	2	0	CRAY XD1	Suse Linux 8	CRAY	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	Cray Inc.	2005-02-03
192	741	2	8	12	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	3 Vehicle Collision	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-09
8	760	2	4	1	QPI	Intel® Xeon® Quad Core X5570	3	1067	Supermicro Nehalem Server	Redhat5U3	Intel	Intel MPI 3.2.011	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	SSG/ASE	2009-03-27
192	764	2	6	16	Mellanox® Technologies ConnectX-2® IB QDR	Intel® Xeon® Hexa Core X5690 3.47GHz	2	1333	Altix ICE 8400EX?	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	3 Vehicle Collision	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
16	771	1	2	8	Infiniband	Intel® Core 2 Extreme  X6800	2	667	S3000PAL	Redhat EL4 update 2	Intel	Intel MPI 3.0.043	s	LS-DYNA	mpp971.7600	neon_refined_revised	s	m	Dupont, WA	Nick Meng	Intel	2007-10-24
192	772	2	6	16	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
16	779	2	2	4	Voltaire IB 410 HCA PCIe card with firmware v1.2.0 Voltaire ISR9024 SDR 24 port IB switch	Intel 5160 Woodcrest DC 3.0GHz	2	0	Altix XE1200 Compute Cluster	SUSE Linux Enterprise Server 10 (x86_64)	SGI	Intel MPI Runtime v2	d	LS-DYNA	ls970.6763	neon_refined	s	m	Chippewa Falls, WI	Scott Shaw	Application Engineering	2007-02-06
160	781	2	10	8	Mellanox Technologies Connect-IB FDR InfiniBand	Intel Xeon E5-2680 V2 @2.80GHz	4	1600	Dell PowerEdge R720xd	RHEL 6.2	Dell	Platform MPI 9.1	d	LS-DYNA	ls971.R3.2.1	3 Vehicle Collision	s	m	Sunnyvale, CA	Pak Lui	HPC Advisory Council	2014-02-13
16	790	2	1	8	PathScale InfiniPath/Silverstorm IB switch	AMD Opteron 2.6GHz	2	0	Microway Navion	Fedora Core 3	PathScale	PathScale MPI	d	LS-DYNA	ls970.5434a	neon_refined	s	m	PathScale Customer Benchmark Center	Kevin Ball	PathScale, Inc.	2005-09-16
192	793	2	6	16	Mellanox® Technologies ConnectX-2® IB QDR MT26428	Intel® Xeon® Hexa Core X5675 3.07GHz	4	1333	Rackable? C2112-4TY14	SUSE® Linux® Enterprise Server 11 SP1	SGI	SGI MPT 2.03	s	LS-DYNA	ls971.R3.2.1	3 Vehicle Collision	s	m	Chippewa Falls, WI	Olivier Schreiber	Applications Engineering	2011-09-25
32	797	2	1	16	InfiniBand Voltaire	AMD Opteron 2.2GHz DL145	8	0	Opteron CP4000/InfiniBand Voltaire	Red Hat 3.0	HP	HP-MPI	d	LS-DYNA	970.5434	neon_refined	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2005-01-10
8	798	1	4	2	DDR InfiniBand	Intel i7 920	3	1600	CA9212i	Cent OS 5.1	ARD	HP-MPI	s	LS-DYNA	ls971.7600	neon_refined_revised	s	m	Nagoya,Japan	Takuya Ichikawa	ARD	2009-02-08
16	802	2	4	2	Voltaire ConnectX IB Gen2 HCA DDR Fabric OFED v1.3	Intel Xeon E5462 2.80GHz	2	800	Bull Novascale R422-E1	Linux Bull Advanced Server 5v1.1	BULL	hpmpi	s	LS-DYNA	mpp971.R3.2	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2008-12-12
16	803	2	2	4	Infiniband	Intel® Xeon® Dual Core 5160 EM64T	2000000000	1333	S5000PAL	Redhat EL4 update 2	Intel	Intel MPI 2.0.1	s	LS-DYNA	mpp970.6763	neon_refined	s	m	Dupont, WA	John Benninghoff	Intel	2006-05-31
8	803	2	4	1	IB QDR	Intel® Xeon® Quad Core X5560 @2.80GHz	3	1333	bullx blade cluster	bullx cluster suite	BULL	hpmpi	d	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2010-04-08
16	805	2	2	4	Voltaire HCA 410Ex InfiniHost III Lx SDR, OFED v1.2	Intel 5160 Woodcrest DC 3.0GHz	2	1333	Altix 1200	SUSE Linux Enterprise Server 10 (x86_64)	SGI	ScaliMPIConnect5.4.1	s	LS-DYNA	ls971.7600	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2007-06-23
16	806	2	4	2		Intel® Xeon® Quad Core X5482	2	1600	Intel SR1560SF system	Redhat5U3	Intel	Intel MPI 3.2.011	s	LS-DYNA	mpp971.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	Intel/SSG	2009-02-13
16	807	2	4	2	Mellanox ConnectX IB HCA DDR Fabric OFED v1.3	Intel Xeon E5472 3.00GHz	2	1600	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 5SP4	SGI	SGI MPT 1.20	s	LS-DYNA	ls971.R3.1	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-04-08
32	810	2	2	8	Voltaire InfiniBand SDR	AMD Dualcore Opteron 2.2 GHz DL145	2	0	CP4000/Windows CCS	Microsoft Windows Compute Cluster Server 2003	HP		d	LS-DYNA	970.6763	neon_refined	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-01-18
192	810	2	6	16	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
16	811	2	2	4	Infiniband SDR	Intel Xeon 5160 3.0GHz	4	0	LS-P	SLES9	Linux Networx	MPI Connect 5.4	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Oslo, Norway	Hakon Bugge	Scali, Inc.	2007-03-21
16	815	2	2	4	ConnectX	Intel Dualcore Xeon 3.0 GHz BL460c	2	0	CP3000	Red Hat EL 4.4	HP	HP-MPI	d	LS-DYNA	971.7600.1116	neon_refined_revised	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-08-23
16	822	2	1	8	Topspin InfiniBand	AMD Opteron 2.6 GHz DL145	4	0	Opteron CP4000	Red Hat 3.0	HP	HP-MPI	d	LS-DYNA	970.5434a	neon_refined	s	m	High Performance Technical Computing Division	Yih-Yih Lin	HP	2005-08-25
16	822	1	2	8	InfiniBand SDR	Dual-core Intel® Core?2 Duo 2.66GHz	2048	667	NEXXUS 4080PT	RHEL4	Ciara Technologies/VXTECH	HP-MPI	s	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Burex Kojimachi 8F 3-5-2 Kojimachi, Chiyoda-ku, To	Takahiko Tomuro	Scalable Systems., Co. Ltd.	2007-01-25
16	823	2	2	4	InfiniBand OFED	Intel Xeon 5160 3.0 GHz BL460c	2	1333	CP3000/Linux	Red Hat EL 4.4	HP	HP-MPI	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-05-23
16	827	2	2	4	InfiniBand	Intel Xeon 5160	0	0	HS21XM BladeCenter	RHEL 4.0 UPDATE 4	IBM	Intel MPI	d	LS-DYNA	971_7600.2.1116	neon_refined_revised	s	m	Poughkeepsie	Guangye Li	IBM	2007-09-20
32	828	2	1	16	Myrinet	AMD Opteron, 2.0 GHz	6	0	e325 cluster	SuSE SLES-8	IBM		d	LS-DYNA	mpp970_5434	neon_refined	s	m	Poughkeepsie, New York, USA	Guangye Li		2004-10-15
16	833	2	2	4	Voltaire InfiniBand DDR	Intel Dualcore Xeon 3.0 GHz DL140	2	0	CP3000/Windows CCS	Microsoft Windows Compute Cluster Server 2003	HP	HP-MPI	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-01-31
32	836	1	1	32	InfiniCon Infiniband	2 GHz Opteron	2	0	Opteron Cluster	SuSE SLES8 SP3	Appro, Rackable, and Verari		d	LS-DYNA	970.5412	neon_refined	s	s	AMD Developer Center	Steven Lyness		2004-06-18
8	838	2	4	1	QPI	Intel® Xeon® Quad Core X5560	2	1067	Supermicro Board X8DTN qual	Redhat5U3	Intel	Intel MPI 3.2.011	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	SSG/ASE	2009-03-27
16	877	2	1	8	 RapidArray	AMD Dual Core Opteron 2.2 GHZ	2	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	CRAY Inc.	2005-09-14
16	879	2	2	4	QLogic InfiniPath IB	Intel Dualcore Xeon 5160 3.0 GHz	2	0	Cambridge Cluster	ClusterVisionOS	ClusterVision/Dell	QLogic MPI 2.0	s	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Cambridge, UK	Kevin Ball	QLogic	2007-02-26
32	885	4	1	8		POWER4+, 1.7 GHz	0	0	IBM p655	AIX 5.1	IBM			LS-DYNA	mpp970_3858	neon_refined			Poughkeepsie, New York, USA	Guangye Li		2003-11-13
16	894	2	2	4	Silverstorm Infiniband	Intel Xeon Dual Core 5160 EM64T	3	1333	Relion 1600	Scyld ClusterWare 4	Penguin Computing	MPICH 1.2.5	d	LS-DYNA	mpp971.7600	neon_refined	s	m	San Francisco, CA, USA	Joshua Bernstein	Penguin Computing	2006-12-06
16	897	2	1	8	NetEffect NE010 10 GbE iWARP	AMD Opteron	4	0	HP DL145	RHEL 4	NetEffect	HP-MPI	d	LS-DYNA	mpp971s.7600	neon_refined	s	m	NetEffect Benchmark Center	Kris Meier	NetEffect	2007-03-09
16	902	2	1	8	Rapid Array	AMD Opteron 2.4 GHZ	4	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-TIng Zhu	CRAY Inc.	2005-05-02
168	905	2	6	14	Mellanox® Technologies MT26428 ConnectX® IB QDR	Intel® Xeon® Six Core X5670 2.93GHz	2	1333	Altix XE1300	SUSE® Linux® Enterprise Server 11, SGI® ProPack(TM	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-08-05
16	911	2	1	8	Myrinet	Opteron, 2.4 GHz	8	0	e326	SUSE LINUX 9	IBM	mpich-gm	d	LS-DYNA	mpp970_5434a	neon_refined	s	m	Poughkeepsie, New York	Guangye Li	IBM	2005-05-03
16	918	2	2	4	Infiniband DDR, OFED 1.2	Intel Xeon Clovertown 2.66GHz	0	0	Clovertown Blades	RHEL4	Intel	MPI Connect 5.4	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Oslo, Norway	Hakon Bugge	Mellanox Technolgies, Inc./Scali, Inc.	2007-05-25
64	945	32	1	2		Power 4 1.3 GHz	0	0	IBMP690	AIX 5.3	IBM		s	LS-DYNA	LS970-3858	neon_refined	s	m	Oak Ridge, TN	Gustavo A Aramayo	Oak Ridge National Laboratory	2005-11-11
256	948	2	4	32	Mellanox ConnectX IB HCA DDR Fabric OFED v1.3	Intel Xeon E5472 3.00GHz	2	1600	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 5SP4	SGI	SGI MPT 1.20	s	LS-DYNA	ls971.R3.1	3 Vehicle Collision	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-04-08
16	953	2	2	4	InfiniBand DDR	Intel Dualcore Xeon 3.0 GHz DL140	2	0	CP3000/Linux	Red Hat EL 4.3	HP	HP-MPI	d	LS-DYNA	971.7600.398	neon_refined_revised	s	m	High Performance Computing Division	Yih-Yih Lin	HP	2007-01-19
192	962	2	6	16	QDR IB	Intel® Xeon® Six Core X5670	2	1333	Intel SR1600UR system	Redhat5U3	Intel	Intel MPI 3.2.1	s	LS-DYNA	mpp971.s.R321	3 Vehicle Collision	s	m	Dupont, WA	Nick Meng	Intel/SSG	2010-03-28
24	969	1	1	24	InfiniCon Infiniband	2 GHz Opteron	2	0	Opteron Cluster	SuSE SLES8 SP3	Appro, Rackable, and Verari		d	LS-DYNA	970.5455	neon_refined	s	s	AMD Developer Center	Steven Lyness		2004-06-18
16	969	2	1	8	Rapic Array	AMD Opteron 2.2 GHZ	2	0	CRAY XD1	Suse Linux 8	CRAY	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	Cray Inc.	2005-02-03
144	980	2	6	12	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
8	982	2	4	1	Gigabit	Intel Xeon W5580 3.2GHz	2	1333	Z800	Linux CentOS 5.4	HP	openmpi 1-4-1	d	LS-DYNA	mpp971_s_R4.2.1	neon_refined	s	m	Contern-Luxembourg	Edmund Marx	IEE S.A.	2010-02-04
8	982	2	4	1	Gigabit	Intel Xeon W5580 3.2GHz	2	13333	Z800	Linux CentOS 5.4	HP	openmpi 1-4-1	d	LS-DYNA	mpp971_s_R4.2.1	neon_refined	s	m	Contern-Luxembourg	Edmund Marx	IEE S.A.	2010-02-04
128	986	2	8	8	Mellanox Technologies® ConnectX-3® IB FDR	Intel Xeon E5-2680	4	1600	Dell PowerEdge R720xd	RHEL 6.2	Dell	Platform MPI 8.2	d	LS-DYNA	mpp971_s_r6.0.0	3 Vehicle Collision	s	m	Sunnyvale, CA	Pak Lui	HPC Advisory Council	2012-05-01
128	988	2	8	8	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Platform MPI 8.2.1	s	LS-DYNA	mpp971_s_r6.0.0	3 Vehicle Collision	s	m	France	Patrice Calegari	BULL	2012-07-04
128	989	2	4	16	IP95 Blades with Mellanox ConnectX IB HCA DDR Fabric OFED v1.4	Intel® Xeon® Quad Core X5570 2.93GHz Turbo Boost E	6	1066	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 6SP2	SGI	SGI MPT 1.23	s	LS-DYNA	ls971.R3.2	3 Vehicle Collision	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2009-03-31
16	993	2	2	4	RapidArray	AMD Dual Core Opteron 2.2 GHZ	2	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	CRAY Inc.	2005-09-08
128	994	2	8	8	IB FDR	Intel® Xeon® E5-2680 @2.70GHz	2	1600	Sandy Bridge-EP system	RHEL 6.1	Intel	Intel MPI 4.0.3.008	d	LS-DYNA	mpp971.s.R321	3 Vehicle Collision	s	m	Swindon, UK	Nick Meng	Intel/SSG	2012-07-19
